"locale","region","date","description","type","notes"
"en-HK","","2013-01-01","The first day of January","NF",""
"en-HK","","2013-02-11","The second day of Lunar New Year","NV",""
"en-HK","","2013-02-12","The third day of Lunar New Year","NV",""
"en-HK","","2013-02-13","The fourth day of Lunar New Year","NV",""
"en-HK","","2013-03-29","Good Friday","NRV",""
"en-HK","","2013-03-30","The day following Good Friday","NV",""
"en-HK","","2013-04-01","Easter Monday","NRV",""
"en-HK","","2013-04-04","Ching Ming Festival","NF",""
"en-HK","","2013-05-01","Labour Day","NF",""
"en-HK","","2013-05-17","The Birthday of the Buddha","NV",""
"en-HK","","2013-06-12","Tuen Ng Festival","NV",""
"en-HK","","2013-07-01","Hong Kong Special Administrative Region Establishment Day","NV",""
"en-HK","","2013-09-20","The day following the Chinese Mid-Autumn Festival","NV",""
"en-HK","","2013-10-01","National Day","NV",""
"en-HK","","2013-10-14","The day following Chung Yeung Festival","NV",""
"en-HK","","2013-12-25","Christmas Day","NRF",""
"en-HK","","2013-12-26","The first weekday after Christmas Day","NV",""
