"locale","region","date","description","type","notes"
"en-IN","","2016-01-01","New Year's Day","NF",""
"en-IN","","2016-01-14","Lohri","NV",""
"en-IN","","2016-01-15","Pongal, Makar Sankranti","NV",""
"en-IN","","2016-01-16","Guru Gobind Singh Jayanti","NV",""
"en-IN","","2016-01-26","Republic Day","NV",""
"en-IN","","2016-02-12","Vasant Panchami   ","NV",""
"en-IN","","2016-02-22","Guru Ravidas Jayanti","NV",""
"en-IN","","2016-03-07","Maha Shivaratri","NV",""
"en-IN","","2016-03-23","Chhoti Holi, Holika Dahan","NV",""
"en-IN","","2016-03-24","Holi","NV",""
"en-IN","","2016-03-25","Good Friday","NV",""
"en-IN","","2016-03-27","Easter","NV",""
"en-IN","","2016-04-08","Gudi Padwa, Ugadi","NV",""
"en-IN","","2016-04-13","Solar New Year, Baisakhi","NV",""
"en-IN","","2016-04-15","Rama Navami","NV",""
"en-IN","","2016-04-21","Hazarat Ali's Birthday","NV",""
"en-IN","","2016-05-21","Buddha Purnima","NV",""
"en-IN","","2016-07-07","Eid al-Fitr , Ramadan","NV",""
"en-IN","","2016-08-15","Independence Day","NV",""
"en-IN","","2016-08-18","Rakhi, Raksha Bandhan","NV",""
"en-IN","","2016-08-25","Krishna Janmashtami","NV",""
"en-IN","","2016-09-05","Ganesh Chaturthi","NV",""
"en-IN","","2016-09-13","Onam, Eid al-Adha, Bakrid","NV",""
"en-IN","","2016-10-02","Gandhi Jayanti","NV",""
"en-IN","","2016-10-09","Durga Ashtami","NV",""
"en-IN","","2016-10-10","Maha Navami","NV",""
"en-IN","","2016-10-11","Dussehra, Madhvacharya Jayanti","NV",""
"en-IN","","2016-10-12","Muharram","NV",""
"en-IN","","2016-10-16","Valmiki Jayanti","NV",""
"en-IN","","2016-10-19","Karwa Chauth","NV",""
"en-IN","","2016-10-30","Diwali, Lakshmi Puja","NV",""
"en-IN","","2016-10-31","Gowardhan Puja","NV",""
"en-IN","","2016-11-01","Bhaiya Dooj","NV",""
"en-IN","","2016-11-06","Chhath Puja","NV",""
"en-IN","","2016-11-14","Guru Nanak Jayanti, Nehru Jayanti","NV",""
"en-IN","","2016-12-12","Milad an-Nabi, Id-e-Milad","NV",""
"en-IN","","2016-12-25","Christmas","NF",""
