"locale","region","date","description","type","notes"
"en-NZ","","2021-01-01","New Year's Day","NF",""
"en-NZ","","2021-01-04","Day after New Year's Day","NV",""
"en-NZ","","2021-02-06","Waitangi Day","NF",""
"en-NZ","","2021-02-08","Waitangi Day (observed)","NV",""
"en-NZ","","2021-04-02","Good Friday","NRV",""
"en-NZ","","2021-04-05","Easter Monday","NRV",""
"en-NZ","","2021-04-25","ANZAC Day","NF",""
"en-NZ","","2021-04-26","ANZAC Day (observed)","NV",""
"en-NZ","","2021-06-07","Queen's Birthday","NV",""
"en-NZ","","2021-10-25","Labour Day","NV",""
"en-NZ","","2021-12-25","Christmas Day","NRF",""
"en-NZ","","2021-12-26","Boxing Day","NF",""
"en-NZ","","2021-12-27","Christmas Day (observed)","NV",""
"en-NZ","","2021-12-28","Boxing Day (observed)","NV",""
