"locale","region","date","description","type","notes"
"en-US","","2020-01-01","New Year's Day","NF",""
"en-US","","2020-01-20","Birthday of Martin Luther King, Jr.","V",""
"en-US","","2020-02-17","Washington's Birthday","NV",""
"en-US","MA","2020-04-20","Patriots' Day","NV",""
"en-US","ME","2020-04-20","Patriots' Day","NV",""
"en-US","","2020-05-25","Memorial Day","NV",""
"en-US","","2020-07-04","Independence Day","NF",""
"en-US","","2020-09-07","Labor Day","NV",""
"en-US","","2020-10-12","Columbus Day","NV",""
"en-US","","2020-11-11","Veterans Day","NF",""
"en-US","","2020-11-26","Thanksgiving Day","NV",""
"en-US","","2020-12-25","Christmas Day","NRF",""

