"locale","region","date","description","type","notes"
"es-CO","","2018-01-01","Año Nuevo","NF",""
"es-CO","","2018-01-08","Día de los Reyes Magos","NRV",""
"es-CO","","2018-03-19","Día de San José","NRV",""
"es-CO","","2018-03-29","Jueves Santo","NRV",""
"es-CO","","2018-03-30","Viernes Santo","NRV",""
"es-CO","","2018-04-01","Domingo de Pascua","NRV",""
"es-CO","","2018-05-01","Día del Trabajo","NF",""
"es-CO","","2018-05-14","La Ascensión del Señor","NRV",""
"es-CO","","2018-06-04","Corpus Christi","NRV",""
"es-CO","","2018-06-11","El Sagrado Corazón de Jesús","NRV",""
"es-CO","","2018-07-02","San Pedro y San Pablo","NRV",""
"es-CO","","2018-07-20","Grito de Independencia","NF",""
"es-CO","","2018-08-07","Batalla de Boyacá","NF",""
"es-CO","","2018-08-20","Asunción de la Virgen","NRV",""
"es-CO","","2018-10-15","Día de la Raza","NV",""
"es-CO","","2018-11-05","Todos los Santos","NRV",""
"es-CO","","2018-11-12","Independencia de Cartagena","NV",""
"es-CO","","2018-12-08","Inmaculada Concepción","NRF",""
"es-CO","","2018-12-25","Navidad","NRF",""
