"locale","region","date","description","type","notes"
"es-MX","","2016-01-01","Año Nuevo","NF",""
"es-MX","","2016-02-01","Día de la Constitución","NV",""
"es-MX","","2016-03-14","Natalicio de Benito Juárez","NV",""
"es-MX","","2016-03-24","Jueves Santo","NRV",""
"es-MX","","2016-03-25","Viernes Santo","NRV",""
"es-MX","","2016-05-01","Día del Trabajo","NF",""
"es-MX","","2016-09-16","Día de la Independencia","NF",""
"es-MX","","2016-11-21","Día de la Revolución","NV",""
"es-MX","","2016-12-12","Nuestra Señora de Guadalupe","NRF",""
"es-MX","","2016-12-25","Navidad","NRF",""
