"locale","region","date","description","type","notes"
"fi-FI","","2019-01-01","Uudenvuodenpäivä","NF",""
"fi-FI","","2019-01-06","Loppiainen","NRF",""
"fi-FI","","2019-04-19","Pitkäperjantai","NRV",""
"fi-FI","","2019-04-21","Pääsiäispäivä","NRV",""
"fi-FI","","2019-04-22","2. pääsiäispäivä","NRV",""
"fi-FI","","2019-05-01","Vappu","NF",""
"fi-FI","","2019-05-30","Helatorstai","NRV",""
"fi-FI","","2019-06-09","Helluntaipäivä","NRV",""
"fi-FI","","2019-06-22","Juhannuspäivä","NRV",""
"fi-FI","","2019-11-02","Pyhäinpäivä","NRV",""
"fi-FI","","2019-12-06","Itsenäisyyspäivä","NF",""
"fi-FI","","2019-12-25","Joulupäivä","NRF",""
"fi-FI","","2019-12-26","Tapaninpäivä","NRF",""
