"locale","region","date","description","type","notes"
"fr-BE","","2020-01-01","Nouvel An","NF",""
"fr-BE","","2020-04-12","Pâques","NRV",""
"fr-BE","","2020-04-13","Lundi de Pâques","NRV",""
"fr-BE","","2020-05-01","Fête du Travail","NF",""
"fr-BE","","2020-05-21","Ascension","NRV",""
"fr-BE","","2020-05-31","Pentecôte","NRV",""
"fr-BE","","2020-06-01","Lundi de Pentecôte","NRV",""
"fr-BE","","2020-07-21","Fête nationale","NF",""
"fr-BE","","2020-08-15","Assomption","NRF",""
"fr-BE","","2020-11-01","Toussaint","NRF",""
"fr-BE","","2020-11-11","Jour de l'armistice","NF",""
"fr-BE","","2020-12-25","Noël","NRF",""
