"locale","region","date","description","type","notes"
"fr-CA","","2018-01-01","Jour de l'An","NF",""
"fr-CA","AB","2018-02-19","Fête de la Famille","V",""
"fr-CA","ON","2018-02-19","Fête de la Famille","V",""
"fr-CA","SK","2018-02-19","Fête de la Famille","V",""
"fr-CA","NB","2018-02-19","Fête de la Famille","V",""
"fr-CA","MB","2018-02-19","Journée Louis Riel","V",""
"fr-CA","PE","2018-02-19","Fête des Insulaires","V",""
"fr-CA","","2018-03-30","Vendredi Saint","NRV",""
"fr-CA","AB","2018-04-02","Lundi de Pâques","RV",""
"fr-CA","PE","2018-04-02","Lundi de Pâques","RV",""
"fr-CA","QC","2018-04-02","Lundi de Pâques","RV",""
"fr-CA","AB","2018-05-21","Fête de la Reine Victoria","V",""
"fr-CA","BC","2018-05-21","Fête de la Reine Victoria","V",""
"fr-CA","MB","2018-05-21","Fête de la Reine Victoria","V",""
"fr-CA","NS","2018-05-21","Fête de la Reine Victoria","V",""
"fr-CA","ON","2018-05-21","Fête de la Reine Victoria","V",""
"fr-CA","SK","2018-05-21","Fête de la Reine Victoria","V",""
"fr-CA","NT","2018-05-21","Fête de la Reine Victoria","V",""
"fr-CA","NU","2018-05-21","Fête de la Reine Victoria","V",""
"fr-CA","YT","2018-05-21","Fête de la Reine Victoria","V",""
"fr-CA","QC","2018-05-21","Journée Nationale des Patriotes","V",""
"fr-CA","QC","2018-06-24","Fête Nationale","F",""
"fr-CA","","2018-07-01","Fête du Canada","NF",""
"fr-CA","NT","2018-08-06","Premier lundi d'août","V",""
"fr-CA","NU","2018-08-06","Premier lundi d'août","V",""
"fr-CA","AB","2018-08-06","Fête du Patrimoine","V",""
"fr-CA","SK","2018-08-06","Fête de la Saskatchewan","V",""
"fr-CA","NS","2018-08-06","Jour de la Fondation","V",""
"fr-CA","NB","2018-08-06","Jour du Nouveau-Brunswick","V",""
"fr-CA","","2018-09-03","Fête du Travail","NV",""
"fr-CA","AB","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","BC","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","MB","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","NL","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","ON","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","QC","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","SK","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","NT","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","NU","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","YT","2018-10-08","Jour de l'Action de grâce","V",""
"fr-CA","AB","2018-11-11","Jour du Souvenir","F",""
"fr-CA","BC","2018-11-11","Jour du Souvenir","F",""
"fr-CA","NB","2018-11-11","Jour du Souvenir","F",""
"fr-CA","NL","2018-11-11","Jour du Souvenir","F",""
"fr-CA","NT","2018-11-11","Jour du Souvenir","F",""
"fr-CA","","2018-12-25","Jour de Noël","NRF",""
"fr-CA","","2018-12-26","Lendemain de Noël","NRF",""
