"locale","region","date","description","type","notes"
"fr-FR","","2015-01-01","Jour de l'an","NF",""
"fr-FR","","2015-04-06","Lundi de Pâques","NRV",""
"fr-FR","","2015-05-01","Fête du premier mai","NF",""
"fr-FR","","2015-05-08","Armistice 1945","NF",""
"fr-FR","","2015-05-14","Ascencion","NRV",""
"fr-FR","","2015-05-24","Pentecôte","NRV",""
"fr-FR","","2015-07-14","Fête nationale","NF",""
"fr-FR","","2015-08-15","Assomption","NRF",""
"fr-FR","","2015-11-01","Toussaint","NRF",""
"fr-FR","","2015-11-11","Armistice 1918","NF",""
"fr-FR","","2015-12-25","Noël","NF",""
