"locale","region","date","description","type","notes"
"hr-HR","","2014-01-01","Nova Godina","NF",""
"hr-HR","","2014-01-06","Bogojavljenje","NRF",""
"hr-HR","","2014-04-20","Uskrs","NRV",""
"hr-HR","","2014-04-21","Uskrsni ponedjeljak","NRV",""
"hr-HR","","2014-05-01","Praznik rada","NF",""
"hr-HR","","2014-06-19","Tijelovo","NRV",""
"hr-HR","","2014-06-22","Dan antifašističke borbe","NF",""
"hr-HR","","2014-06-25","Dan državnosti","NF",""
"hr-HR","","2014-08-05","Dan pobjede","NF",""
"hr-HR","","2014-08-15","Velika Gospa","NRF",""
"hr-HR","","2014-10-08","Dan neovisnosti","NF",""
"hr-HR","","2014-11-01","Dan svih svetih","NRF",""
"hr-HR","","2014-12-25","Božić","NRF",""
"hr-HR","","2014-12-26","Prvi dan po Božiću","NF",""
