"locale","region","date","description","type","notes"
"is-IS","","2018-01-01","Nýársdagur","NRF",""
"is-IS","","2018-03-29","Skírdagur","NRV",""
"is-IS","","2018-03-30","Föstudagurinn langi","NRV",""
"is-IS","","2018-04-01","Páskadagur","NRV",""
"is-IS","","2018-04-02","Annar dagur páska","NRV",""
"is-IS","","2018-04-19","Sumardagurinn fyrsti","NV",""
"is-IS","","2018-05-01","Verkalýðsdagurinn","NF",""
"is-IS","","2018-05-10","Uppstigningardagur","NRV",""
"is-IS","","2018-05-20","Hvítasunnudagur","NRV",""
"is-IS","","2018-05-21","Annar dagur hvítasunnu","NRV",""
"is-IS","","2018-06-17","Þjóðhátíðardagurinn","NF",""
"is-IS","","2018-08-06","Frídagur verslunarmanna","NV",""
"is-IS","","2018-12-24","Aðfangadagur jóla","NRF","Holiday from 13:00"
"is-IS","","2018-12-25","Jóladagur","NRF",""
"is-IS","","2018-12-26","Annar dagur jóla","NRF",""
"is-IS","","2018-12-31","Gamlársdagur","NF","Holiday from 13:00"
