"locale","region","date","description","type","notes"
"jp-JP","","2015-01-01","元日","NF",""
"jp-JP","","2015-01-12","成人の日","NV",""
"jp-JP","","2015-02-11","建国記念の日","NF",""
"jp-JP","","2015-03-21","春分の日","NV",""
"jp-JP","","2015-04-29","昭和の日","NF",""
"jp-JP","","2015-05-03","憲法記念日","NF",""
"jp-JP","","2015-05-04","みどりの日","NF",""
"jp-JP","","2015-05-05","こどもの日","NF",""
"jp-JP","","2015-05-06","振替休日","NV",""
"jp-JP","","2015-07-20","海の日","NV",""
"jp-JP","","2015-09-21","敬老の日","NV",""
"jp-JP","","2015-09-23","秋分の日","NV",""
"jp-JP","","2015-10-12","体育の日","NV",""
"jp-JP","","2015-11-03","文化の日","NF",""
"jp-JP","","2015-11-23","勤労感謝の日","NF",""
"jp-JP","","2015-12-23","天皇誕生日","NF",""
