"locale","region","date","description","type","notes"
"lt-LT","","2015-01-01","Naujieji metai","NF",""
"lt-LT","","2015-02-16","Lietuvos valstybės atkūrimo diena","NF",""
"lt-LT","","2015-03-11","Lietuvos nepriklausomybės atkūrimo diena","NF",""
"lt-LT","","2015-04-05","Velykos","NRV",""
"lt-LT","","2015-04-06","Velykos","NRV",""
"lt-LT","","2015-05-01","Tarptautinė darbo diena","NF",""
"lt-LT","","2015-06-24","Joninės, Rasos","NF",""
"lt-LT","","2015-07-06","Valstybės diena","NF",""
"lt-LT","","2015-08-15","Žolinė","NRF",""
"lt-LT","","2015-11-01","Visų šventųjų diena","NRF",""
"lt-LT","","2015-12-24","Šv. Kalėdos","NRF",""
"lt-LT","","2015-12-25","Šv. Kalėdos","NRF",""
"lt-LT","","2015-12-26","Šv. Kalėdos","NRF",""
