"locale","region","date","description","type","notes"
"nb-NO","","2019-01-01","Nyttårsdag","NF",""
"nb-NO","","2019-03-03","Fastelavn","NRV",""
"nb-NO","","2019-04-14","Palmesøndag","NRV",""
"nb-NO","","2019-04-18","Skjærtorsdag","NRV",""
"nb-NO","","2019-04-19","Langfredag","NRV",""
"nb-NO","","2019-04-21","Påskedag","NRV",""
"nb-NO","","2019-04-22","Påskedag","NRV",""
"nb-NO","","2019-05-01","Offentlig Høytidsdag","NF",""
"nb-NO","","2019-05-08","Frigjøringsdag 1945","NF",""
"nb-NO","","2019-05-17","Grunnlovsdag","NF",""
"nb-NO","","2019-05-30","Kristi Himmelfartsdag","NRV",""
"nb-NO","","2019-06-09","Pinsedag","NRV",""
"nb-NO","","2019-06-10","Pinsedag","NRV",""
"nb-NO","","2019-12-24","Julaften","NRF",""
"nb-NO","","2019-12-25","Juledag","NRF",""
"nb-NO","","2019-12-26","Juledag","NRF",""
"nb-NO","","2019-12-31","Nyttårsaften","NF",""
