"locale","region","date","description","type","notes"
"nl-BE","","2017-01-01","Nieuwjaar","NF",""
"nl-BE","","2017-04-16","Pasen","NRV",""
"nl-BE","","2017-04-17","Paasmaandag","NRV",""
"nl-BE","","2017-05-01","Dag van de arbeid","NF",""
"nl-BE","","2017-05-25","Onze Lieve Heer hemelvaart","NRV",""
"nl-BE","","2017-06-04","Pinksteren","NRV",""
"nl-BE","","2017-06-05","Pinkstermaandag","NRV",""
"nl-BE","","2017-07-21","Nationale feestdag","NF",""
"nl-BE","","2017-08-15","Onze Lieve Vrouw hemelvaart","NRF",""
"nl-BE","","2017-11-01","Allerheiligen","NRF",""
"nl-BE","","2017-11-11","Wapenstilstand","NF",""
"nl-BE","","2017-12-25","Kerstmis","NRF",""
