"locale","region","date","description","type","notes"
"nl-NL","","2012-01-01","Nieuwjaar","N",""
"nl-NL","","2012-04-06","Goede Vrijdag","N",""
"nl-NL","","2012-04-08","Eerste Paasdag","N",""
"nl-NL","","2012-04-09","Tweede Paasdag","N",""
"nl-NL","","2012-04-30","Koninginnedag","N",""
"nl-NL","","2012-05-04","Dodenherdenking","N",""
"nl-NL","","2012-05-05","Bevrijdingsdag","N",""
"nl-NL","","2012-05-17","Hemelvaartsdag","N",""
"nl-NL","","2012-05-27","Pinksteren","N",""
"nl-NL","","2012-05-28","Tweede Pinksterdag","N",""
"nl-NL","","2012-12-05","Sinterklaas","N",""
"nl-NL","","2012-12-15","Koninkrijksdag","N",""
"nl-NL","","2012-12-25","Kerstmis","N",""
"nl-NL","","2012-12-26","Tweede Kerstdag","N",""
