"locale","region","date","description","type","notes"
"pl-PL","","2012-01-01","Nowy Rok","NF",""
"pl-PL","","2012-01-06","Trzech Króli","NRF",""
"pl-PL","","2012-04-08","Wielkanoc","NRV",""
"pl-PL","","2012-04-09","Poniedziałek Wielkanocny","NRV",""
"pl-PL","","2012-05-01","Święto Pracy","NF",""
"pl-PL","","2012-05-03","Święto Konstytucji Trzeciego Maja","NF",""
"pl-PL","","2012-05-27","Zielone Świątki","NRV",""
"pl-PL","","2012-06-07","Boże Ciało","NRV",""
"pl-PL","","2012-08-15","Wniebowzięcie Najświętszej Maryi Panny","NRF",""
"pl-PL","","2012-11-01","Wszystkich Świętych","NRF",""
"pl-PL","","2012-11-11","Narodowe Święto Niepodległości","NF",""
"pl-PL","","2012-12-25","Boże Narodzenie (pierwszy dzień)","NRF",""
"pl-PL","","2012-12-26","Boże Narodzenie (drugi dzień)","NRF",""
