"locale","region","date","description","type","notes"
"pt-BR","","2014-01-01","Confraternização Universal","NF",""
"pt-BR","","2014-03-03","Carnaval","NRV",""
"pt-BR","","2014-03-04","Carnaval","NRV",""
"pt-BR","","2014-04-18","Sexta-feira Santa","NRV",""
"pt-BR","","2014-04-20","Páscoa","NRV",""
"pt-BR","","2014-04-21","Tiradentes","NF",""
"pt-BR","","2014-05-01","Dia do Trabalho","NF",""
"pt-BR","","2014-06-19","Corpus Christi","NRV",""
"pt-BR","","2014-09-07","Independência do Brasil","NF",""
"pt-BR","","2014-10-12","Nossa Senhora Aparecida","NRF",""
"pt-BR","","2014-11-02","Finados","NRF",""
"pt-BR","","2014-11-15","Proclamação da República","NF",""
"pt-BR","","2014-12-25","Natal","NRF",""
