"locale","region","date","description","type","notes"
"pt-PT","","2014-01-01","Ano Novo","NF",""
"pt-PT","","2014-03-04","Carnaval","NRV",""
"pt-PT","","2014-04-18","Sexta-feira Santa","NRV",""
"pt-PT","","2014-04-20","Páscoa","NRV",""
"pt-PT","","2014-04-25","Dia da Liberdade","NF",""
"pt-PT","","2014-05-01","Dia do Trabalhador","NF",""
"pt-PT","","2014-06-10","Dia de Portugal","NF",""
"pt-PT","","2014-06-19","Corpo de Deus","NRV",""
"pt-PT","","2014-08-15","Assunção de Nossa Senhora","NF",""
"pt-PT","","2014-10-05","Implantação da República","NF",""
"pt-PT","","2014-11-01","Dia de Todos os Santos","NF",""
"pt-PT","","2014-12-01","Restauração da Independência","NF",""
"pt-PT","","2014-12-08","Imaculada Conceição","NF",""
"pt-PT","","2014-12-25","Natal","NF",""
