"locale","region","date","description","type","notes"
"sk-SK","","2017-01-01","Deň vzniku Slovenskej republiky","NF",""
"sk-SK","","2017-01-06","Zjavenie Pána / Traja králi","NRF",""
"sk-SK","","2017-04-14","Veľký piatok","NRV",""
"sk-SK","","2017-04-17","Veľkonočný pondelok","NRV",""
"sk-SK","","2017-05-01","Sviatok práce","NF",""
"sk-SK","","2017-05-08","Deň víťazstva nad fašizmom","NF",""
"sk-SK","","2017-07-05","Sviatok svätého Cyrila a Metoda","NRF",""
"sk-SK","","2017-08-29","Výročie SNP","NF",""
"sk-SK","","2017-09-01","Deň Ústavy Slovenskej republiky","NF",""
"sk-SK","","2017-09-15","Sedembolestná Panna Mária","NRF",""
"sk-SK","","2017-11-01","Sviatok všetkých svätých","NRF",""
"sk-SK","","2017-11-17","Deň boja za slobodu a demokraciu","NF",""
"sk-SK","","2017-12-24","Štedrý deň","NRF",""
"sk-SK","","2017-12.25","Prvý sviatok vianočný","NRF",""
"sk-SK","","2017-12-26","Druhý sviatok vianočný","NRF",""
