"locale","region","date","description","type","notes"
"sv-FI","","2011-01-01","Nyårsdagen","NF",""
"sv-FI","","2011-01-06","Trettondedagen","NRF",""
"sv-FI","","2011-04-22","Långfredagen","NRV",""
"sv-FI","","2011-04-24","Påskdagen","NRV",""
"sv-FI","","2011-04-25","Annandag påsk","NRV",""
"sv-FI","","2011-05-01","Första maj","NF",""
"sv-FI","","2011-06-02","Kristi himmelfärdsdag","NRV",""
"sv-FI","","2011-06-12","Pingst","NRV",""
"sv-FI","","2011-06-25","Midsommardagen","NRV",""
"sv-FI","","2011-11-05","Alla helgons dag","NRV",""
"sv-FI","","2011-12-06","Självständighetsdagen","NF",""
"sv-FI","","2011-12-25","Juldagen","NRF",""
"sv-FI","","2011-12-26","Annandag jul","NRF",""
