"locale","region","date","description","type","notes"
"tr-TR","","2015-01-01","Yılbaşı","NF",""
"tr-TR","","2015-04-23","Ulusal Egemenlik ve Çocuk Bayramı","NF",""
"tr-TR","","2015-05-01","Emek ve Dayanışma Günü","NF",""
"tr-TR","","2015-05-19","Atatürk'ü Anma Gençlik ve Spor Bayramı","NF",""
"tr-TR","","2015-08-30","Zafer Bayramı","NF",""
"tr-TR","","2015-10-29","Cumhuriyet Bayramı","NF",""
"tr-TR","","2015-07-17","Ramazan Bayramı 1","NRV",""
"tr-TR","","2015-07-18","Ramazan Bayramı 2","NRV",""
"tr-TR","","2015-07-19","Ramazan Bayramı 3","NRV",""
"tr-TR","","2015-09-23","Kurban Bayramı 1","NRV",""
"tr-TR","","2015-09-24","Kurban Bayramı 2","NRV",""
"tr-TR","","2015-09-25","Kurban Bayramı 3","NRV",""
"tr-TR","","2015-09-26","Kurban Bayramı 4","NRV",""
