"locale","region","date","description","type","notes"
"cs-CZ","","2011-01-01","Nový rok","NF",""
"cs-CZ","","2011-01-01","Den obnovy samostatnosti českého státu","NF",""
"cs-CZ","","2011-04-25","Velikonoční pondělí","NRV",""
"cs-CZ","","2011-05-01","Svátek práce","NF",""
"cs-CZ","","2011-05-08","Den vítězství","NF",""
"cs-CZ","","2011-07-05","Den slovanských věrozvěstů","NRF",""
"cs-CZ","","2011-07-06","Den upálení mistra Jana Husa","NRF",""
"cs-CZ","","2011-09-28","Den české státnosti","NRF",""
"cs-CZ","","2011-10-28","Den vzniku samostatného československého státu","NF",""
"cs-CZ","","2011-11-17","Den boje za svobodu a demokracii","NF",""
"cs-CZ","","2011-12-24","Štědrý den","NRF",""
"cs-CZ","","2011-12-25","1. svátek vánoční","NRF",""
"cs-CZ","","2011-12-26","2. svátek vánoční","NRF",""
