"locale","region","date","description","type","notes"
"da-DK","","2012-01-01","Nytårsdag","NF",""
"da-DK","","2012-04-01","Palmesøndag","N",""
"da-DK","","2012-04-05","Skærtorsdag","N",""
"da-DK","","2012-04-06","Langfredag","N",""
"da-DK","","2012-04-08","Påskedag","NRV",""
"da-DK","","2012-04-09","Anden påskedag","N",""
"da-DK","","2012-05-04","Store bededag","N",""
"da-DK","","2012-05-17","Kristi himmelfartsdag","N",""
"da-DK","","2012-05-27","Pinsedag","N",""
"da-DK","","2012-05-28","Anden pinsedag","N",""
"da-DK","","2012-12-25","Juledag","NRF",""
"da-DK","","2012-12-26","Anden juledag","NF",""
