"locale","region","date","description","type","notes"
"de-DE","","2011-01-01","Neujahr","N",""
"de-DE","","2011-01-06","Heilige drei Könige (BW,BY,ST)","N",""
"de-DE","","2011-04-22","Karfreitag","N",""
"de-DE","","2011-04-24","Ostern","N",""
"de-DE","","2011-04-25","Ostermontag","N",""
"de-DE","","2011-05-01","Erster Maifeiertag","N",""
"de-DE","","2011-06-12","Pfingstsonntag","N",""
"de-DE","","2011-06-13","Pfingstmontag","N",""
"de-DE","","2011-06-23","Fronleichnam (BW,BY,HE,NRW,RP,SL,(SN,TH))","N",""
"de-DE","","2011-08-15","Mariä Himmelfahrt (SL)","N",""
"de-DE","","2011-10-03","Tag der Deutschen Einheit","N",""
"de-DE","","2011-10-31","Reformationstag (BB,MV,SN,ST,TH)","N",""
"de-DE","","2011-11-01","Allerheiligen (BW,BY,NRW,RP,SL)","N",""
"de-DE","","2011-11-16","Buss und Bettag (SN)","N",""
"de-DE","","2011-12-24","Heilig Abend","N",""
"de-DE","","2011-12-25","Weihnachtstag","N",""
"de-DE","","2011-12-26","Zweiter Weihnachtstag","N",""
"de-DE","","2011-12-31","Sylvester","N",""
