"locale","region","date","description","type","notes"
"en-NZ","","2013-01-01","New Year's Day","N",""
"en-NZ","","2013-01-02","Day after New Years Day","N",""
"en-NZ","","2013-02-06","Waitangi Day","N",""
"en-NZ","","2013-03-29","Good Friday","N",""
"en-NZ","","2013-04-01","Easter Monday","N",""
"en-NZ","","2013-04-25","ANZAC Day","N",""
"en-NZ","","2013-06-03","Queen's Birthday","N",""
"en-NZ","","2013-10-28","Labour Day","N",""
"en-NZ","","2013-12-25","Christmas Day","N",""
"en-NZ","","2013-12-26","Boxing Day","N",""
