"locale","region","date","description","type","notes"
"en-US","","2014-01-01","New Year's Day","NF",""
"en-US","","2014-01-20","Birthday of Martin Luther King, Jr.","V",""
"en-US","","2014-02-17","Washington's Birthday","NV",""
"en-US","MA","2014-04-21","Patriots' Day","NV",""
"en-US","ME","2014-04-21","Patriots' Day","NV",""
"en-US","","2014-05-26","Memorial Day","NV",""
"en-US","","2014-07-04","Independence Day","NF",""
"en-US","","2014-09-01","Labor Day","NV",""
"en-US","","2014-10-13","Columbus Day","NV",""
"en-US","","2014-11-11","Veterans Day","NV",""
"en-US","","2014-11-27","Thanksgiving Day","NV",""
"en-US","","2014-12-25","Christmas Day","NRF",""
