"locale","region","date","description","type","notes"
"es-US","","2011-01-01","Año Neuvo","NF",""
"es-US","","2011-01-17","Cumpleaños de Martin Luther King, Jr.","V",""
"es-US","MA","2011-04-18","Día del Patriota","NV",""
"es-US","ME","2011-04-18","Día del Patriota","NV",""
"es-US","","2011-05-30","Día de los Caídos","NV",""
"es-US","","2011-07-04","Día de la Independiencia","NF",""
"es-US","","2011-09-05","Día del Trabajo","NV",""
"es-US","","2011-10-10","Día de Columbus","NV",""
"es-US","","2011-11-11","Día de los Veteranos","NV",""
"es-US","","2011-11-24","Día de Acción de Gracias","NV",""
"es-US","","2011-12-25","Navidad","NRF",""
