"locale","region","date","description","type","notes"
"et-EE","","2014-01-01","uusaasta","NF",""
"et-EE","","2014-02-24","iseseisvuspäev","NF",""
"et-EE","","2014-04-18","suur reede","NRV",""
"et-EE","","2014-04-20","ülestõusmispühade 1. püha","NRV",""
"et-EE","","2014-05-01","kevadpüha","NF",""
"et-EE","","2014-06-08","nelipühade 1. püha","NRV",""
"et-EE","","2014-06-23","võidupüha","NF",""
"et-EE","","2014-06-24","jaanipäev","NF",""
"et-EE","","2014-08-20","taasiseseisvumispäev","NF",""
"et-EE","","2014-12-24","jõululaupäev","NF",""
"et-EE","","2014-12-25","esimene jõulupüha","NF",""
"et-EE","","2014-12-26","teine jõulupüha","NF",""
