"locale","region","date","description","type","notes"
"fi-FI","","2011-01-01","Uudenvuodenpäivä","N",""
"fi-FI","","2011-01-06","Loppiainen","N",""
"fi-FI","","2011-04-22","Pitkäperjantai","N",""
"fi-FI","","2011-04-24","Pääsiäispäivä","N",""
"fi-FI","","2011-04-25","2. pääsiäispäivä","N",""
"fi-FI","","2011-05-01","Vappu","N",""
"fi-FI","","2011-06-02","Helatorstai","N",""
"fi-FI","","2011-06-12","Helluntaipäivä","N",""
"fi-FI","","2011-06-24","Juhannusaatto","N",""
"fi-FI","","2011-06-25","Juhannuspäivä","N",""
"fi-FI","","2011-11-05","Pyhäinpäivä","N",""
"fi-FI","","2011-12-06","Itsenäisyyspäivä","N",""
"fi-FI","","2011-12-24","Jouluaatto","N",""
"fi-FI","","2011-12-25","Joulupäivä","N",""
"fi-FI","","2011-12-26","2. joulupäivä","N",""
