"locale","region","date","description","type","notes"
"fr-FR","","2011-01-01","Jour de l'an","NF",""
"fr-FR","","2011-04-05","Lundi de Pâques","NRV",""
"fr-FR","","2011-05-01","Fête du premier mai","NV",""
"fr-FR","","2011-05-08","la Fête de Victoire 45","NF",""
"fr-FR","","2011-06-02","l'Ascencion","NR",""
"fr-FR","","2011-06-12","la Pentecôte","NR",""
"fr-FR","","2011-07-14","Fête nationale","NF",""
"fr-FR","","2011-07-15","Fête nationale","NV",""
"fr-FR","","2011-08-15","Assomption","NR",""
"fr-FR","","2011-11-01","La Toussaint","NR",""
"fr-FR","","2011-11-11","Jour d'armistice","N",""
"fr-FR","","2011-12-25","Noël","N",""
