"locale","region","date","description","type","notes"
"hr-HR","","2012-01-01","Nova Godina","NF",""
"hr-HR","","2012-01-06","Bogojavljenje","NRF",""
"hr-HR","","2012-04-08","Uskrs","NRV",""
"hr-HR","","2012-04-09","Uskrsni ponedjeljak","NRV",""
"hr-HR","","2012-05-01","Međunarodni praznik rada","NF",""
"hr-HR","","2012-06-07","Tijelovo","NRV",""
"hr-HR","","2012-06-22","Dan antifašističke borbe","NF",""
"hr-HR","","2012-06-25","Dan državnosti","NF",""
"hr-HR","","2012-08-05","Dan pobjede","NF",""
"hr-HR","","2012-08-15","Velika Gospa","NRF",""
"hr-HR","","2012-10-08","Dan neovisnosti","NF",""
"hr-HR","","2012-11-01","Dan svih svetih","NRF",""
"hr-HR","","2012-12-25","Božić","NRF",""
"hr-HR","","2012-12-26","Prvi dan po Božiću","NF",""
