"locale","region","date","description","type","notes"
"lt-LT","","2012-01-01","Naujieji metai","NF",""
"lt-LT","","2012-02-16","Lietuvos valstybės atkūrimo diena","NF",""
"lt-LT","","2012-03-11","Lietuvos nepriklausomybės atkūrimo diena","NF",""
"lt-LT","","2012-04-08","Velykos","NRV",""
"lt-LT","","2012-04-09","Velykos","NRV",""
"lt-LT","","2012-05-01","Tarptautinė darbo diena","NF",""
"lt-LT","","2012-05-06","Motinos diena","NV",""
"lt-LT","","2012-05-13","Tėvo diena","NV",""
"lt-LT","","2012-06-24","Joninės, Rasos","NF",""
"lt-LT","","2012-07-06","Valstybės diena","NF",""
"lt-LT","","2012-08-15","Žolinė","NRF",""
"lt-LT","","2012-21-01","Visų šventųjų diena","NRF",""
"lt-LT","","2012-12-25","Šv. Kalėdos","NRV",""
"lt-LT","","2012-12-26","Šv. Kalėdos","NRV",""
