"locale","region","date","description","type","notes"
"nl-BE","","2013-01-01","Nieuwjaar","NF",""
"nl-BE","","2013-03-31","Pasen","NRV",""
"nl-BE","","2013-04-01","Paasmaandag","NRV",""
"nl-BE","","2013-05-01","Dag van de arbeid","NF",""
"nl-BE","","2013-05-09","Onze Lieve Heer hemelvaart","NRV",""
"nl-BE","","2013-05-19","Pinksteren","NRV",""
"nl-BE","","2013-05-20","Pinkstermaandag","NRV",""
"nl-BE","","2013-07-21","Nationale feestdag","NF",""
"nl-BE","","2013-08-15","Onze Lieve Vrouw hemelvaart","NRF",""
"nl-BE","","2013-11-01","Allerheiligen","NRF",""
"nl-BE","","2013-11-11","Wapenstilstand","NF",""
"nl-BE","","2013-12-25","Kerstmis","NRF",""
