"locale","region","date","description","type","notes"
"nl-NL","","2013-01-01","Nieuwjaar","NF",""
"nl-NL","","2013-03-29","Goede Vrijdag","NRV",""
"nl-NL","","2013-03-31","Pasen","NRV",""
"nl-NL","","2013-04-01","Tweede Pasdag","NRV",""
"nl-NL","","2013-04-30","Koninginnedag","NF",""
"nl-NL","","2013-05-04","Dodenherdenking","NF",""
"nl-NL","","2013-05-05","Bevrijdingsdag","NF",""
"nl-NL","","2013-05-09","Hemelvaartsdag","NRV",""
"nl-NL","","2013-05-19","Pinksteren","NRV",""
"nl-NL","","2013-05-20","Tweede Pinksterdag","NRV",""
"nl-NL","","2013-12-05","Sinterklaas","NRF",""
"nl-NL","","2013-12-15","Koninkrijksdag","NF",""
"nl-NL","","2013-12-25","Kerstmis","NRF",""
"nl-NL","","2013-12-26","Tweede Kerstdag","NRF",""
