"locale","region","date","description","type","notes"
"pt-PT","","2011-01-01","Ano Novo","N",""
"pt-PT","","2011-03-08","Carnaval","N",""
"pt-PT","","2011-04-22","Sexta-feira Santa","N",""
"pt-PT","","2011-04-24","Páscoa","N",""
"pt-PT","","2011-04-25","Dia da Liberdade","N",""
"pt-PT","","2011-05-01","Dia do Trabalhador","N",""
"pt-PT","","2011-06-23","Corpo de Deus","N",""
"pt-PT","","2011-06-10","Dia de Portugal","N",""
"pt-PT","","2011-08-15","Assunção de Nossa Senhora","N",""
"pt-PT","","2011-10-05","Implantação da República","N",""
"pt-PT","","2011-11-01","Todos os Santos","N",""
"pt-PT","","2011-12-01","Restauração da Independência","N",""
"pt-PT","","2011-12-08","Imaculada Conceição","N",""
"pt-PT","","2011-12-25","Natal","N",""
"pt-PT","","2011-02-21","Carnaval","N",""
"pt-PT","","2011-04-06","Sexta-feira Santa","N",""
"pt-PT","","2011-04-08","Páscoa","N",""
"pt-PT","","2011-06-07","Corpo de Deus","N",""
